date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:28	106915/106915	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2007:15:17%20GMT	https://admin.pixelstrap.com/roxo/html/template/index.html	C:/My%20Web%20Sites/dashbejo/admin.pixelstrap.com/roxo/html/template/index.html	(from )
02:35:28	31/31	---M--	200	added ('OK')	text/plain	date:Fri,%2012%20Oct%202018%2016:00:13%20GMT	https://admin.pixelstrap.com/robots.txt		(from )
02:35:28	581/581	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Dec%202022%2012:17:09%20GMT	https://admin.pixelstrap.com/roxo/assets/images/favicon.png	C:/My%20Web%20Sites/dashbejo/admin.pixelstrap.com/roxo/assets/images/favicon.png	(from https://admin.pixelstrap.com/roxo/html/template/index.html)
02:35:28	25919/25919	---M-Z	200	added ('OK')	text/css	date:Fri,%2016%20Dec%202022%2012:17:09%20GMT	https://admin.pixelstrap.com/roxo/assets/css/vendors/iconly.css	C:/My%20Web%20Sites/dashbejo/admin.pixelstrap.com/roxo/assets/css/vendors/iconly.css	(from https://admin.pixelstrap.com/roxo/html/template/index.html)
02:35:29	295295/295295	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Dec%202022%2010:56:06%20GMT	https://admin.pixelstrap.com/roxo/assets/css/style.css	C:/My%20Web%20Sites/dashbejo/admin.pixelstrap.com/roxo/assets/css/style.css	(from https://admin.pixelstrap.com/roxo/html/template/index.html)
02:35:29	72563/72563	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Dec%202022%2005:29:00%20GMT	https://admin.pixelstrap.com/roxo/html/template/chat-app.html	C:/My%20Web%20Sites/dashbejo/admin.pixelstrap.com/roxo/html/template/chat-app.html	(from https://admin.pixelstrap.com/roxo/html/template/index.html)
02:35:29	9872/9872	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Dec%202022%2012:17:09%20GMT	https://admin.pixelstrap.com/roxo/assets/images/users/1.png	C:/My%20Web%20Sites/dashbejo/admin.pixelstrap.com/roxo/assets/images/users/1.png	(from https://admin.pixelstrap.com/roxo/html/template/index.html)
02:35:29	8389/8389	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Dec%202022%2012:17:09%20GMT	https://admin.pixelstrap.com/roxo/assets/images/users/5.png	C:/My%20Web%20Sites/dashbejo/admin.pixelstrap.com/roxo/assets/images/users/5.png	(from https://admin.pixelstrap.com/roxo/html/template/index.html)
02:35:30	8162/8162	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Dec%202022%2012:17:09%20GMT	https://admin.pixelstrap.com/roxo/assets/images/users/4.png	C:/My%20Web%20Sites/dashbejo/admin.pixelstrap.com/roxo/assets/images/users/4.png	(from https://admin.pixelstrap.com/roxo/html/template/index.html)
02:35:30	75254/75254	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Dec%202022%2005:24:11%20GMT	https://admin.pixelstrap.com/roxo/html/template/email-app.html	C:/My%20Web%20Sites/dashbejo/admin.pixelstrap.com/roxo/html/template/email-app.html	(from https://admin.pixelstrap.com/roxo/html/template/index.html)
02:35:30	170361/170361	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2012:31:23%20GMT	https://admin.pixelstrap.com/roxo/html/template/feather-icon.html	C:/My%20Web%20Sites/dashbejo/admin.pixelstrap.com/roxo/html/template/feather-icon.html	(from https://admin.pixelstrap.com/roxo/html/template/index.html)
02:35:30	57539/57539	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202022%2009:44:15%20GMT	https://admin.pixelstrap.com/roxo/html/template/cart.html	C:/My%20Web%20Sites/dashbejo/admin.pixelstrap.com/roxo/html/template/cart.html	(from https://admin.pixelstrap.com/roxo/html/template/index.html)
